Tipos,Status,Category,Descrição,Detalhe,O que o cliente deve fazer
FC,4,shipped,A entrega não pode ser efetuada - Endereço incorreto,Objeto sujeito a atraso na entrega ou a devolução ao remetente,Acompanhar
FC,5,shipped,Objeto devolvido aos Correios,,Acompanhar
FC,7,delivery_unsuccessful,A entrega não pode ser efetuada - Empresa sem expediente,A entrega deverá ocorrer no próximo dia útil,Acompanhar
IDC,1,lost,Objeto não localizado,Houve indenização dos valores correspondentes,Acompanhar
IDC,2,lost,Objeto não localizado,Houve indenização dos valores correspondentes,Acompanhar
IDC,3,lost,Objeto não localizado,Houve indenização dos valores correspondentes,Acompanhar
IDC,4,lost,Objeto não localizado,Houve indenização dos valores correspondentes,Acompanhar
IDC,5,lost,Objeto não localizado,Houve indenização dos valores correspondentes,Acompanhar
IDC,6,lost,Objeto não localizado,Houve indenização dos valores correspondentes,Acompanhar
IDC,7,lost,Objeto não localizado,Houve indenização dos valores correspondentes,Acompanhar
LDE,9,shipped,Objeto saiu para entrega ao remetente,,Acompanhar
LDI,0,waiting_retrieval,Objeto aguardando retirada no endereço indicado,Endereço:,Acompanhar. O interessado deverá buscar o objeto em uma Unidade dos Correios.
LDI,1,waiting_retrieval,Objeto aguardando retirada no endereço indicado,Endereço:,Acompanhar. O interessado deverá buscar o objeto em uma Unidade dos Correios.
LDI,2,waiting_retrieval,Objeto disponível para retirada em Caixa Postal,,Acompanhar. O interessado deverá buscar o objeto em uma Unidade dos Correios.
LDI,3,waiting_retrieval,Objeto aguardando retirada no endereço indicado,Endereço:,Acompanhar. O interessado deverá buscar o objeto em uma Unidade dos Correios.
LDI,14,waiting_retrieval,Objeto aguardando retirada no endereço indicado,Endereço:,Acompanhar. O interessado deverá buscar o objeto em uma Unidade dos Correios.
OEC,0,shipped,Objeto saiu para entrega ao destinatário,,Acompanhar. O interessado deverá buscar o objeto em uma Unidade dos Correios.
PAR,15,delivered,Objeto recebido em <destino>,,Acompanhar
PAR,16,customs_control,Objeto recebido no Brasil,Objeto sujeito à fiscalização e atraso na entrega,Acompanhar
PAR,17,customs_control,Objeto liberado pela alfândega,,Acompanhar
PAR,18,shipped,Objeto recebido na unidade de exportação,,Acompanhar
PMT,1,shipped,Objeto encaminhado para,,Acompanhar
PO,0,shipped,Objeto postado,,Acompanhar
PO,1,shipped,Objeto postado,,Acompanhar
PO,9,shipped,Objeto postado após o horário limite da agência,Objeto sujeito a encaminhamento no próximo dia útil,Acompanhar
RO,0,shipped,Objeto encaminhado para,,Acompanhar
RO,1,shipped,Objeto encaminhado para,,Acompanhar
TRI,0,shipped,Objeto encaminhado para,,Acompanhar
